id,State,anaemia
1,Andhra Pradesh,70.8
2,Arunachal Pradesh,56.9
3,Assam ,69.6
4,Bihar,78
5,Chattisgarh,71.2
6,Delhi,57
7,Goa,38.2
8,Gujarat,69.7
9,Haryana,72.3
10,Himachal Pradesh,54.7
11,Jammu & Kashmir ,58.6
12,Jharkhand,70.3
13,Karnataka,70.4
14,Kerala ,44.5
15,Madhya Pradesh,74.1
16,Maharashtra ,63.4
17,Manipur,41.1
18,Meghalaya,64.4
19,Mizoram,44.2
20,Nagaland,48.3
21,Odisha,65
22,Punjab,66.4
23,Rajasthan ,69.7
24,Sikkim,59.2
25,Tamil Nadu ,64.2
26,Tripura,62.9
27,Uttar Pradesh,73.9
28,Uttaranchal,61.4
29,West Bengal,61
